epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,364.008,0.72016,0.76899,0.95892,0.81246,0.83947,0.85209,0.6488,0.87876,1.11394,1.04761,0.000570034,0.000570034,0.000570034
115,366.602,0.70983,0.76669,0.95503,0.81179,0.80744,0.84497,0.6475,0.8816,1.08674,1.04851,0.000567034,0.000567034,0.000567034
116,369.163,0.70278,0.76673,0.9307,0.86084,0.82577,0.87455,0.69248,0.82724,1.01703,1.00051,0.000564034,0.000564034,0.000564034
117,372.335,0.68899,0.77093,0.94639,0.86112,0.84239,0.88932,0.6846,0.8359,1.01723,1.00094,0.000561035,0.000561035,0.000561035
118,375.636,0.69658,0.75653,0.94779,0.91124,0.8086,0.899,0.6794,0.84475,1.022,1.00896,0.000558035,0.000558035,0.000558035
119,378.153,0.74845,0.81786,0.96544,0.8671,0.84834,0.90559,0.68648,0.8622,0.97073,1.04412,0.000555035,0.000555035,0.000555035
120,380.77,0.75412,0.77935,0.97756,0.86476,0.80285,0.89362,0.67893,0.87132,1.00233,1.06272,0.000552036,0.000552036,0.000552036
121,383.351,0.70901,0.7976,0.96413,0.85025,0.81187,0.89518,0.67466,0.85071,0.97736,1.05219,0.000549036,0.000549036,0.000549036
122,387.309,0.74803,0.78526,0.95804,0.84557,0.88447,0.90918,0.6815,0.84666,0.95739,1.03192,0.000546036,0.000546036,0.000546036
123,389.916,0.71819,0.75086,0.95965,0.8662,0.84275,0.92192,0.69172,0.83128,0.92044,1.0167,0.000543037,0.000543037,0.000543037
124,392.649,0.70096,0.75764,0.95861,0.91338,0.82465,0.9128,0.70831,0.83011,0.97838,1.03428,0.000540037,0.000540037,0.000540037
125,395.141,0.71528,0.78821,0.94715,0.90369,0.81344,0.90316,0.69894,0.81722,0.9845,1.02611,0.000537037,0.000537037,0.000537037
126,397.864,0.73341,0.75336,0.97006,0.86014,0.80081,0.89956,0.70623,0.80713,0.97832,1.01334,0.000534037,0.000534037,0.000534037
127,401.382,0.70793,0.74393,0.95752,0.8549,0.84991,0.89572,0.6915,0.81853,0.97977,1.00697,0.000531038,0.000531038,0.000531038
128,404.21,0.71812,0.73606,0.95611,0.82546,0.8546,0.90004,0.69652,0.85067,0.94361,1.00687,0.000528038,0.000528038,0.000528038
129,406.669,0.67797,0.73743,0.95124,0.81977,0.88558,0.89273,0.68466,0.84554,0.95723,1.01596,0.000525038,0.000525038,0.000525038
130,409.211,0.69242,0.7948,0.94427,0.84993,0.87082,0.88685,0.69002,0.84796,0.95229,1.02575,0.000522039,0.000522039,0.000522039
131,411.864,0.7796,0.80094,0.98131,0.84885,0.84772,0.88549,0.69459,0.85301,0.93338,1.01562,0.000519039,0.000519039,0.000519039
132,415.684,0.7009,0.7408,0.95071,0.82742,0.81342,0.88543,0.67772,0.84772,0.96867,1.01391,0.000516039,0.000516039,0.000516039
133,418.119,0.73661,0.78017,0.96627,0.83997,0.82959,0.87166,0.65531,0.87844,0.96325,1.02361,0.00051304,0.00051304,0.00051304
134,420.618,0.70161,0.73171,0.94715,0.84036,0.91135,0.89638,0.68344,0.82186,0.94358,1.00367,0.00051004,0.00051004,0.00051004
135,423.192,0.71809,0.74046,0.94386,0.85385,0.87054,0.8909,0.68908,0.78805,0.93431,1.00437,0.00050704,0.00050704,0.00050704
136,426.318,0.7368,0.73467,0.96748,0.82306,0.8917,0.87957,0.67498,0.78909,0.96777,0.98839,0.00050404,0.00050404,0.00050404
137,429.695,0.72607,0.75246,0.97161,0.82751,0.90111,0.86589,0.67442,0.76045,0.95426,0.97675,0.000501041,0.000501041,0.000501041
138,432.323,0.74685,0.80457,0.98199,0.84856,0.86353,0.88303,0.67514,0.79645,0.93443,0.98327,0.000498041,0.000498041,0.000498041
139,434.914,0.68039,0.72598,0.94084,0.81316,0.85509,0.88434,0.66986,0.8196,0.92968,0.98903,0.000495041,0.000495041,0.000495041
140,437.523,0.74557,0.79588,0.97923,0.82534,0.89014,0.9008,0.67111,0.82428,0.89425,1.00074,0.000492042,0.000492042,0.000492042
141,441.317,0.70961,0.80771,0.96622,0.86899,0.8607,0.90261,0.69127,0.80207,0.89491,0.99593,0.000489042,0.000489042,0.000489042
142,444.229,0.69065,0.73051,0.9501,0.89239,0.82168,0.89917,0.68431,0.80587,0.95348,1.00472,0.000486042,0.000486042,0.000486042
143,446.924,0.6889,0.7801,0.94024,0.81634,0.86839,0.88874,0.6897,0.81071,0.99275,1.0082,0.000483043,0.000483043,0.000483043
144,449.622,0.66002,0.71703,0.95995,0.86847,0.87018,0.89503,0.68575,0.7986,0.93313,0.99834,0.000480043,0.000480043,0.000480043
145,452.152,0.67097,0.71858,0.94125,0.89692,0.89528,0.90081,0.69852,0.82353,0.92556,1.01758,0.000477043,0.000477043,0.000477043
146,456.005,0.73172,0.72963,0.95116,0.8828,0.84913,0.89564,0.70727,0.80851,0.89437,1.00221,0.000474043,0.000474043,0.000474043
147,458.727,0.66729,0.70488,0.94594,0.83346,0.89846,0.88801,0.69327,0.80064,0.94898,0.99784,0.000471044,0.000471044,0.000471044
148,461.312,0.70513,0.70554,0.95011,0.88001,0.87245,0.88969,0.69536,0.78677,0.92857,0.99537,0.000468044,0.000468044,0.000468044
149,463.985,0.65814,0.66962,0.92404,0.84666,0.85171,0.87698,0.68249,0.79559,0.93375,1.00141,0.000465044,0.000465044,0.000465044
150,467.318,0.67421,0.68207,0.94877,0.83254,0.82838,0.86834,0.67109,0.85343,0.98057,1.03385,0.000462045,0.000462045,0.000462045
151,470.495,0.67618,0.70966,0.96451,0.88886,0.85337,0.8921,0.69645,0.79457,0.90914,1.00155,0.000459045,0.000459045,0.000459045
152,473.077,0.65053,0.65936,0.93152,0.86091,0.86502,0.89856,0.69818,0.80518,0.92226,1.00327,0.000456045,0.000456045,0.000456045
153,475.555,0.71612,0.71402,0.94643,0.88645,0.85728,0.89245,0.6788,0.84053,0.98591,1.01871,0.000453046,0.000453046,0.000453046
154,478.084,0.65518,0.69441,0.93506,0.91289,0.83889,0.89936,0.69041,0.83596,0.96863,1.01235,0.000450046,0.000450046,0.000450046
155,481.958,0.72667,0.71569,0.99909,0.91135,0.8601,0.89067,0.68671,0.82547,0.94375,1.00823,0.000447046,0.000447046,0.000447046
156,484.704,0.6495,0.67155,0.94164,0.88188,0.86272,0.87965,0.6562,0.83018,0.98056,1.00904,0.000444046,0.000444046,0.000444046
157,487.37,0.69867,0.70677,0.95736,0.88024,0.86453,0.87975,0.65595,0.82305,0.96081,1.00697,0.000441047,0.000441047,0.000441047
158,490.05,0.63641,0.65611,0.9108,0.92746,0.89478,0.90699,0.70183,0.80452,0.89905,0.99527,0.000438047,0.000438047,0.000438047
159,492.68,0.67017,0.69797,0.94568,0.90362,0.86867,0.90127,0.69396,0.81029,0.89454,1.00074,0.000435047,0.000435047,0.000435047
160,496.72,0.65884,0.68955,0.95377,0.90361,0.87403,0.89661,0.674,0.88935,0.9696,1.02448,0.000432048,0.000432048,0.000432048
161,499.23,0.72556,0.71678,0.94919,0.90346,0.85249,0.88889,0.68678,0.86337,0.96952,1.01241,0.000429048,0.000429048,0.000429048
162,501.898,0.62219,0.63286,0.92352,0.92524,0.83424,0.89232,0.68874,0.82986,0.91388,0.98937,0.000426048,0.000426048,0.000426048
163,504.574,0.70189,0.72149,0.9289,0.91965,0.83957,0.88598,0.68837,0.81638,0.91615,0.98058,0.000423049,0.000423049,0.000423049
164,508.388,0.64833,0.63155,0.92847,0.91036,0.81586,0.8931,0.68558,0.8193,0.90878,0.9718,0.000420049,0.000420049,0.000420049
165,511.447,0.69434,0.68123,0.9433,0.88273,0.81469,0.88073,0.68422,0.82346,0.9031,0.97612,0.000417049,0.000417049,0.000417049
166,514.013,0.65568,0.65433,0.92629,0.91659,0.82606,0.89173,0.69351,0.79563,0.89775,0.9918,0.000414049,0.000414049,0.000414049
167,516.531,0.61396,0.63366,0.92932,0.91978,0.86349,0.89865,0.69096,0.79776,0.89678,0.99445,0.00041105,0.00041105,0.00041105
168,519.145,0.68617,0.71257,0.96389,0.9169,0.8733,0.90021,0.68729,0.81713,0.87613,1.00585,0.00040805,0.00040805,0.00040805
169,522.949,0.66058,0.66052,0.93113,0.91102,0.88556,0.90447,0.68787,0.82274,0.8592,1.00538,0.00040505,0.00040505,0.00040505
170,525.549,0.62314,0.62982,0.9447,0.93071,0.86946,0.90971,0.68912,0.8407,0.88689,1.01187,0.000402051,0.000402051,0.000402051
171,528.221,0.61824,0.65004,0.9268,0.89905,0.86216,0.88706,0.66142,0.86295,0.95303,1.02965,0.000399051,0.000399051,0.000399051
172,530.878,0.6568,0.67527,0.9502,0.88798,0.87783,0.89599,0.67896,0.83161,0.93152,1.00728,0.000396051,0.000396051,0.000396051
173,533.963,0.69513,0.67862,0.93383,0.94176,0.86825,0.89102,0.68529,0.8238,0.93202,1.004,0.000393052,0.000393052,0.000393052
174,537.452,0.63215,0.64198,0.94449,0.91098,0.84844,0.86675,0.66914,0.8666,0.98151,1.02277,0.000390052,0.000390052,0.000390052
175,540.032,0.64921,0.649,0.91943,0.91917,0.84057,0.87384,0.67706,0.84478,0.94304,1.0078,0.000387052,0.000387052,0.000387052
176,542.837,0.65007,0.63383,0.91984,0.93487,0.85436,0.88697,0.69435,0.82674,0.90897,1.00038,0.000384052,0.000384052,0.000384052
177,545.299,0.62859,0.61024,0.90908,0.92465,0.83802,0.89291,0.69526,0.82751,0.9015,1.00368,0.000381053,0.000381053,0.000381053
178,549.367,0.63065,0.66977,0.95401,0.89167,0.83453,0.87454,0.66148,0.86637,0.90555,1.0097,0.000378053,0.000378053,0.000378053
179,551.895,0.62617,0.62396,0.93433,0.88786,0.79517,0.87294,0.67073,0.81464,0.90685,0.99233,0.000375053,0.000375053,0.000375053
180,554.578,0.6441,0.62897,0.94846,0.91552,0.82708,0.89254,0.69271,0.79833,0.87823,0.9905,0.000372054,0.000372054,0.000372054
181,557.165,0.67238,0.7113,0.9612,0.92011,0.84418,0.89947,0.70021,0.80411,0.88018,0.99552,0.000369054,0.000369054,0.000369054
182,560.139,0.69772,0.69757,0.95645,0.92945,0.84183,0.90757,0.68381,0.81766,0.88874,1.00798,0.000366054,0.000366054,0.000366054
