epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,343.221,0.69733,0.73751,0.94302,0.74296,0.71094,0.69609,0.55464,0.89997,1.4282,1.012,0.000516039,0.000516039,0.000516039
133,345.785,0.72932,0.74579,0.9444,0.67574,0.75819,0.68358,0.53597,0.93143,1.44404,1.01272,0.00051304,0.00051304,0.00051304
134,348.843,0.68051,0.71263,0.94592,0.65777,0.76226,0.6884,0.54719,0.87953,1.43436,0.99702,0.00051004,0.00051004,0.00051004
135,350.866,0.69049,0.68295,0.93698,0.7186,0.698,0.7061,0.56128,0.86566,1.38637,0.98639,0.00050704,0.00050704,0.00050704
136,353.163,0.68387,0.7056,0.94103,0.73541,0.72665,0.72987,0.56421,0.92771,1.31976,1.02169,0.00050404,0.00050404,0.00050404
137,355.236,0.74091,0.75159,1.008,0.73562,0.72309,0.72934,0.56328,0.94009,1.31766,1.03597,0.000501041,0.000501041,0.000501041
138,357.226,0.68582,0.7706,0.95116,0.7519,0.70801,0.70196,0.55386,0.91738,1.30759,1.02384,0.000498041,0.000498041,0.000498041
139,359.817,0.64913,0.65991,0.93715,0.72821,0.75528,0.72851,0.56169,0.93295,1.28656,1.03305,0.000495041,0.000495041,0.000495041
140,362.734,0.74088,0.76471,0.99222,0.74868,0.80804,0.76939,0.59605,0.94639,1.22472,1.0364,0.000492042,0.000492042,0.000492042
141,364.989,0.72937,0.77249,0.96509,0.79482,0.76926,0.76644,0.58869,0.92684,1.21802,1.03076,0.000489042,0.000489042,0.000489042
142,367.145,0.70326,0.71009,0.94407,0.74375,0.79412,0.74067,0.56505,0.97025,1.31,1.04077,0.000486042,0.000486042,0.000486042
143,369.195,0.70633,0.73447,0.97155,0.68987,0.78673,0.72029,0.56167,0.93956,1.33375,1.02005,0.000483043,0.000483043,0.000483043
144,371.185,0.71115,0.69895,0.9628,0.7357,0.70661,0.71431,0.55863,0.94885,1.3356,1.03292,0.000480043,0.000480043,0.000480043
145,374.171,0.67702,0.69054,0.92924,0.72662,0.69698,0.79185,0.61987,0.96077,1.37371,1.0446,0.000477043,0.000477043,0.000477043
146,376.749,0.70479,0.74887,0.95426,0.67283,0.72522,0.76695,0.5976,0.96891,1.40088,1.0497,0.000474043,0.000474043,0.000474043
147,378.908,0.71192,0.71205,0.93843,0.69408,0.70189,0.66334,0.52353,0.87656,1.42026,0.99949,0.000471044,0.000471044,0.000471044
148,381.041,0.684,0.70384,0.92738,0.68146,0.68147,0.66335,0.53034,0.83972,1.3922,0.9835,0.000468044,0.000468044,0.000468044
149,383.193,0.66491,0.67816,0.92315,0.6541,0.7438,0.67415,0.53294,0.87381,1.37012,0.99649,0.000465044,0.000465044,0.000465044
150,385.489,0.66925,0.66669,0.94735,0.64824,0.76981,0.71255,0.54017,0.91155,1.3508,1.00239,0.000462045,0.000462045,0.000462045
151,388.889,0.65419,0.68534,0.9391,0.64956,0.81427,0.73712,0.56863,0.85357,1.33484,0.97912,0.000459045,0.000459045,0.000459045
152,391.146,0.63819,0.66711,0.93357,0.64731,0.80582,0.73066,0.56623,0.87207,1.28076,0.9956,0.000456045,0.000456045,0.000456045
153,393.18,0.67173,0.6661,0.93651,0.68815,0.72995,0.73147,0.57553,0.86765,1.26611,0.99688,0.000453046,0.000453046,0.000453046
154,395.311,0.67045,0.70186,0.94335,0.70842,0.75321,0.74557,0.58333,0.86904,1.24682,1.00925,0.000450046,0.000450046,0.000450046
155,397.402,0.62542,0.68047,0.92712,0.6599,0.82464,0.75485,0.58035,0.89296,1.19957,1.01216,0.000447046,0.000447046,0.000447046
156,399.479,0.66372,0.6634,0.94592,0.73272,0.76901,0.7484,0.57149,0.90488,1.23691,1.00702,0.000444046,0.000444046,0.000444046
157,402.912,0.70018,0.70417,0.94641,0.73238,0.77085,0.75721,0.57264,0.89489,1.27185,1.00588,0.000441047,0.000441047,0.000441047
158,405.163,0.64482,0.67106,0.94424,0.7099,0.70943,0.80846,0.63461,0.88472,1.31035,1.01153,0.000438047,0.000438047,0.000438047
159,407.123,0.65656,0.66519,0.94355,0.6004,0.74689,0.76972,0.612,0.89011,1.41072,1.01038,0.000435047,0.000435047,0.000435047
160,409.184,0.67027,0.66136,0.96664,0.56234,0.82224,0.779,0.61347,0.90227,1.45452,0.99361,0.000432048,0.000432048,0.000432048
161,411.172,0.69617,0.70177,0.94245,0.70781,0.69649,0.78811,0.63034,0.90801,1.39715,0.98885,0.000429048,0.000429048,0.000429048
162,413.457,0.66537,0.68219,0.94776,0.66665,0.82874,0.82408,0.64461,0.96402,1.30618,1.00833,0.000426048,0.000426048,0.000426048
163,416.688,0.69175,0.72317,0.9326,0.71473,0.77056,0.76846,0.6124,0.89052,1.18643,0.98209,0.000423049,0.000423049,0.000423049
164,418.821,0.63506,0.62496,0.91945,0.72925,0.77077,0.77209,0.61408,0.86566,1.17277,0.96577,0.000420049,0.000420049,0.000420049
165,420.835,0.67365,0.66623,0.95083,0.77064,0.7779,0.76411,0.6004,0.87156,1.18676,0.96522,0.000417049,0.000417049,0.000417049
166,422.955,0.63551,0.64994,0.92191,0.77616,0.75905,0.76522,0.6041,0.89815,1.18841,0.97371,0.000414049,0.000414049,0.000414049
167,425.071,0.61728,0.61201,0.93649,0.70208,0.80846,0.83623,0.66608,0.91217,1.24724,0.97437,0.00041105,0.00041105,0.00041105
168,427.996,0.67567,0.67583,0.95341,0.65299,0.79585,0.81821,0.64933,0.92415,1.28219,0.98696,0.00040805,0.00040805,0.00040805
169,430.708,0.60788,0.64164,0.91691,0.75385,0.69788,0.80469,0.63707,0.91601,1.2943,0.99116,0.00040505,0.00040505,0.00040505
170,433.002,0.60625,0.61203,0.93658,0.75848,0.69711,0.78508,0.642,0.87232,1.29583,0.98735,0.000402051,0.000402051,0.000402051
171,435.03,0.60836,0.62403,0.92491,0.79253,0.704,0.8139,0.64997,0.87788,1.28678,0.98446,0.000399051,0.000399051,0.000399051
172,437.246,0.666,0.67381,0.95844,0.71861,0.75342,0.81344,0.63332,0.89617,1.24632,0.98517,0.000396051,0.000396051,0.000396051
173,439.499,0.62377,0.60357,0.9173,0.70468,0.76276,0.79937,0.61869,0.90002,1.25549,0.98663,0.000393052,0.000393052,0.000393052
174,442.464,0.65436,0.66274,0.9364,0.70374,0.72383,0.79321,0.62217,0.9227,1.2968,0.98756,0.000390052,0.000390052,0.000390052
175,444.946,0.62562,0.61738,0.90446,0.65692,0.7822,0.78302,0.62068,0.89894,1.26094,0.97475,0.000387052,0.000387052,0.000387052
176,447.103,0.62789,0.62272,0.91183,0.65399,0.78778,0.79067,0.63316,0.89062,1.22327,0.9792,0.000384052,0.000384052,0.000384052
177,449.208,0.68824,0.66192,0.97078,0.7088,0.73836,0.81084,0.63965,0.89917,1.22789,0.98399,0.000381053,0.000381053,0.000381053
178,451.216,0.62622,0.63721,0.94524,0.7345,0.71009,0.82013,0.64538,0.92148,1.23192,0.98541,0.000378053,0.000378053,0.000378053
179,453.232,0.64194,0.66775,0.9503,0.75402,0.73073,0.80802,0.64572,0.89136,1.26966,0.98435,0.000375053,0.000375053,0.000375053
180,456.493,0.61387,0.61855,0.93043,0.72331,0.71491,0.79913,0.63393,0.90927,1.30394,1.00156,0.000372054,0.000372054,0.000372054
181,458.806,0.63471,0.63123,0.94626,0.74675,0.71206,0.79971,0.62886,0.91133,1.32823,1.00132,0.000369054,0.000369054,0.000369054
182,460.832,0.6147,0.61706,0.92701,0.73322,0.69133,0.80167,0.62329,0.90672,1.29749,1.0006,0.000366054,0.000366054,0.000366054
